name,address,vicinity,wilaya_name,wilaya_code,commune,postal_code,phone,website,latitude,longitude,language
ZR Express Adrar,"VPH8+37C, Adrar, Algérie","VPH8+37C, Adrar",Adrar,01,Adrar,01000,+213661110053,,27.8777841,-0.2842951,fr
ZR Express Adrar,"VPC8+GGJ، Rue Mohamed Ben Maamar، Adrar, Algérie","VPC8+GGJ, Rue Mohamed Ben Maamar, Adrar",Adrar,01,Adrar,01000,+213661411100,,27.8713337,-0.2836403,fr
Zr express chlef,"585J+MMP, Chlef, Algérie","585J+MMP, Chlef",Chlef,02,Chlef,02000,,,36.15922439999999,1.3316997,fr
ZR Express Laghouat,"QRVW+8QP, Laghouat, Algérie","QRVW+8QP, Laghouat",Laghouat,03,Laghouat,03000,+213698821234,,33.79380699999999,2.8465429,fr
Zrexpress Oum el bouaghi,"92 EPLF, Oum el Bouaghi, Algérie","92 EPLF, Oum el Bouaghi",Oum El Bouaghi,04,Oum el Bouaghi,04000,+213672961016,,35.8691361,7.1231195,fr
ziouane express oum el bouaghi,"Petonse Sud Ouest, Bd Houari Boumédiène, Oum el Bouaghi 04000, Algérie","Petonse Sud Ouest, Boulevard Houari Boumédiène, Oum el Bouaghi",Oum El Bouaghi,04,Oum el Bouaghi,04000,+213660081723,,35.86935179999999,7.106680799999999,fr
ZR express البريد السريع,"G4XW+HRJ, Batna, Algérie","G4XW+HRJ, Batna",Batna,05,Batna,05000,+213770555245,,35.54894549999999,6.146965899999999,fr
ZR Exprès,"Q324+J77, Béjaïa, Algérie","Q324+J77, Béjaïa",Béjaïa,06,Béjaïa,06000,+213797744856,,36.7515258,5.055683699999999,fr
ZRexpress BEJAIA REMLA,"P3M5+G5C, El Kseur, Algérie","P3M5+G5C, El Kseur",Béjaïa,06,El Kseur,06000,+213770059950,,36.7338125,5.0578763,fr
zr express béjaia,"P3V2+H7F, Béjaïa, Algérie","P3V2+H7F, Béjaïa",Béjaïa,06,Béjaïa,06000,,,36.74393,5.050668,fr
Zr express biskra,"RMXX+FCQ, Biskra, Algérie","RMXX+FCQ, Biskra",Biskra,07,Biskra,07000,+213771534058,,34.850378,5.6992278,fr
Zrexpress bechar,"JQ5F+H9G, Béchar, Algérie",JQ5F+H9G,Béchar,08,Béchar,08000,+213770059498,,31.607972,-2.2250919,fr
Zrexpress bechar,"طريق منوني،, JQ9J+9JG, Béchar, Algérie","JQ9J+9JG, طريق منوني،",Béchar,08,Béchar,08000,+213667202267,,31.6184397,-2.218428499999999,fr
Zrexperss blida,"FRXJ+836, Blida, Algérie","FRXJ+836, Blida",Blida,09,Blida,09000,+213770772111,http://www.zrexpress.com/,36.4981935,2.8300086,fr
ZR Express Bouira,"Bouira, Algérie",Bouira,Bouira,10,Bouira,10000,+213770381812,,36.3804652,3.8911554,fr
ZR Express Tamanrasset,"Tamanrasset, Algérie",Tamanrasset,Tamanrasset,11,Tamanrasset,11000,+213770994257,,22.7988968,5.516752099999999,fr
zr express tébessa,"C36V+95F, Tébessa, Algérie","C36V+95F, Tébessa",Tébessa,12,Tebessa,12000,+213659430681,http://www.zrexpress.fr/,35.4106937,8.0928807,fr
ZRexpress Tlemcen,"Tlemcen, Algérie",Tlemcen,Tlemcen,13,Tlemcen,13000,+213770396954,http://zrexpress.com/,34.8948011,-1.3259789,fr
ZR express Tiaret,"987C+9C7, Tiaret, Algérie","987C+9C7, Tiaret",Tiaret,14,Tiaret,14000,,,35.3635202,1.321164,fr
Zrexpress Tizi ouzou,"Sud-Ouest, Tizi Ouzou 15000, Algérie","Sud-Ouest, Tizi Ouzou",Tizi Ouzou,15,Tizi Ouzou,15000,+213770599901,,36.7066785,4.0319372,fr
ZRexpress Ouled Fayet,"Ouled Fayet, Algérie",Ouled Fayet,Alger,16,Ouled Fayet,16000,+213770072703,,36.7396613,2.948448699999999,fr
zrexpress,"Birkhadem el malha, Djasr Kasentina 16029, Algérie",Birkhadem el malha,Alger,16,Djasr Kasentina,16029,+213770601836,,36.69958819999999,3.0536634,fr
zrexpress BEK,"P5VJ+QMP, 208 SIDI AHMED, Bordj El Kiffan 16223, Algérie","P5VJ+QMP, 208 SIDI AHMED, Bordj El Kiffan",Alger,16,Bordj El Kiffan,16223,+213770363902,,36.7444648,3.181708399999999,fr
ZR express Djelfa,"M66W+M92, Djelfa, Algérie","M66W+M92, Djelfa",Djelfa,17,Djelfa,17000,+213770451600,,34.66163349999999,3.2458983,fr
Turbo express jijel,"26 Av. Kaoula Mokhtar, Jijel, Algérie","26 Avenue Kaoula Mokhtar, Jijel",Jijel,18,Jijel,18000,+213561891027,,36.810382,5.758814699999999,fr
ZR EXPRESS TAHIR,"QVFW+83W, W147, Tahir, Algérie","QVFW+83W, W147, Tahir",Jijel,18,Tahir,18000,+213670423204,,36.773362,5.8951766,fr
Zr express Jijel,"RQ54+QJ4, Jijel, Algérie","RQ54+QJ4, Jijel",Jijel,18,Jijel,18000,+213660139308,,36.80500190000001,5.756058599999999,fr
Zr express setif,"5CQQ+XH3, Sétif, Algérie","5CQQ+XH3, Sétif",Sétif,19,Setif,19000,+213549664174,,36.1898875,5.4389219,fr
Easy express saida,"R5R6+J55, Saïda 20000, Algérie","R5R6+J55, Saïda",Saïda,20,Saïda,20000,+213784504920,,34.8415144,0.1604965,fr
ZR express Saïda,"V524+969, Saïda, Algérie","V524+969, Saïda",Saïda,20,Saïda,20000,+213795271265,,34.8509033,0.1556105,fr
ZREXPRESS SKIKDA,"VW94+G8G، Rue Mokhbi Leulmi، Skikda, Algérie","VW94+G8G, Rue Mokhbi Leulmi, Skikda",Skikda,21,Skikda,21000,+213792435732,,36.8688125,6.9058286,fr
Zr express sidi bel abbès,"69CG+J96, Sidi Bel Abbès, Algérie","69CG+J96, Sidi Bel Abbès",Sidi Bel Abbès,22,Sidi Bel Abbès,22000,+213773981287,,35.2186515,-0.6289585999999999,fr
Centre de Tri ZR Express Annaba,"لعلايق بجانب, رقم 16, الطريق الوطني, El Bouni, Algérie","رقم 16, لعلايق بجانب, الطريق الوطني, El Bouni",Annaba,23,El Bouni,23000,,http://zrexpress.com/,36.86337589999999,7.7522218,fr
ZR express annaba,"Rue de l'AVANT Port, Annaba, Algérie","Rue de l'AVANT Port, Annaba",Annaba,23,Annaba,23000,+213796369689,,36.9026442,7.7668267,fr
Zrexpress Guelma,"FC7P+GXR, Rue P, Guelma, Algérie","FC7P+GXR, Rue P, Guelma",Guelma,24,Guelma,24000,+21337143224,,36.4638546,7.4373814,fr
ZR Express Bellevue - Constantine,"22 Rue Barkat Lakhdar, Constantine, Algérie","22 Rue Barkat Lakhdar, Constantine",Constantine,25,Constantine,25000,+213541198855,,36.3515861,6.605990199999999,fr
Zrexpress Constantine,"8J7F+M7G, Constantine, Algérie","8J7F+M7G, Constantine",Constantine,25,Constantine,25000,+213770777159,,36.3141764,6.6232129,fr
ZRexpress Médéa (stop desk),"7QF6+R9J, Médéa, Algérie","7QF6+R9J, Médéa",Médéa,26,Médéa,26000,+213779460270,,36.2745125,2.760914799999999,fr
ZR Express Mostaganem,"W3JM+R3Q, Mostaganem, Algérie","W3JM+R3Q, Mostaganem",Mostaganem,27,Mostaganem,27000,+213674724506,,35.93208000000001,0.082735,fr
ZRexpress,"ZRexpress, Mostaganem, Algérie","ZRexpress, Mostaganem",Mostaganem,27,Mostaganem,27000,,,35.92041279999999,0.06011309999999999,fr
ZRexpress m'sila,"PG9G+P62, M'Sila, Algérie","PG9G+P62, M'Sila",M'Sila,28,M'Sila,28000,+213770641663,,35.7192669,4.5255283,fr
ZRexpress Mascara,"C42P+JX5, Mascara, Algérie","C42P+JX5, Mascara",Mascara,29,Mascara,29000,+213668052517,,35.401504,0.1374827,fr
ZR express ouargla,"X85F+59M, Ouargla, Algérie","X85F+59M, Ouargla",Ouargla,30,Ouargla,30000,+213770612103,,31.9579643,5.3234309,fr
ZRexpress Oran,"PC55+H76, Bvd Zighout Youcef, Oran 31000, Algérie","PC55+H76, Bvd Zighout Youcef, Oran",Oran,31,Oran,31000,+21341822996,,35.7089123,-0.5918566,fr
ZRexpress Oran --Maraval--,"M982+P7V, Oran, Algérie","M982+P7V, Oran",Oran,31,Oran,31000,+213770169659,,35.6668802,-0.6495130999999998,fr
Zrexpress Oran Bir El Djir,"PCJR+895, Bir El Djir, Algérie","PCJR+895, Bir El Djir",Oran,31,Bir El Djir,31000,,,35.7308469,-0.5590393,fr
ZR express El Bayadh,"M2J9+849, El-Bayadh, Algérie","M2J9+849, El-Bayadh",El Bayadh,32,El Bayadh,32000,+213770229632,,33.6807793,1.0178665,fr
NOEST Express - Illizi,"GF2F+HG7, Boulevard, Illizi, Algérie","GF2F+HG7, Boulevard, Illizi",Illizi,33,Illizi,33000,,http://noest-dz.com/,26.5014104,8.4737864,fr
Yalidine illizi,"GF2F+H5M, Illizi, Algérie","GF2F+H5M, Illizi",Illizi,33,Illizi,33000,+213559578646,,26.5060456,8.489678699999999,fr
Zr Express BBA,"34000، Bordj Bou Arreridj 34000, Algérie",34000,Bordj Bou Arréridj,34,Bordj Bou Arreridj,34000,+213770272317,,36.0699594,4.812494900000001,fr
"ZR Express, Boumerdes","Bt 21, Mohamed El Mehdi Blvd, Boumerdès, Algérie","Bt 21, Mohamed El Mehdi Boulevard, Boumerdès",Boumerdès,35,Boumerdès,35000,,,36.7644875,3.463983800000001,fr
Yalidine Express Tindouf,"MV94+CRF, Tindouf, Algérie","MV94+CRF, Tindouf",Tindouf,37,Tindouf,37000,+213663107400,,27.6685623,-8.142962100000002,fr
ZR Express Tissemsilt,"JR42+9WF, Rue 7, Tissemsilt, Algérie","JR42+9WF, Rue 7, Tissemsilt",Tissemsilt,38,Tissemsilt,38000,+213770798060,http://www.zrexpress.com/,35.6059467,1.802424,fr
Arinex khenchela,"C4JP+3WR, Khenchela, Algérie","C4JP+3WR, Khenchela",Khenchela,40,Khenchela,40000,,,35.4302265,7.137272,fr
ZR Express Khenchela,"C47R+R69, Khenchela, Algérie","C47R+R69, Khenchela",Khenchela,40,Khenchela,40000,+213560622325,http://www.zrexpress.fr/,35.41454249999999,7.140355799999999,fr
Zr express souk ahras,"7WPR+PF2، Pawlou 1، Souk Ahras, Algérie","7WPR+PF2, Pawlou 1, Souk Ahras",Souk Ahras,41,Souk Ahras,41000,+213795949808,,36.2867525,7.9411264,fr
Zr express Tipaza,"مسكن عدل, عمارة 29 سي 5, Tipaza, Algérie","مسكن عدل, عمارة 29 سي 5, Tipaza",Tipaza,42,Tipaza,42000,+213770420724,,36.5889184,2.465974,fr
zr express mila,"COMMUNE DE MILA, Mila 43000, Algérie","COMMUNE DE MILA, Mila",Mila,43,Mila,43000,+213657224773,,36.4451685,6.261622099999999,fr
Zr express ain defla,"Aïn Defla, Algérie",Aïn Defla,Aïn Defla,44,Aïn Defla,44000,+213770994579,,36.261724,1.9770247,fr
ZR Express MECHERIA 45,"GPVG+RMH, Naâma, Algérie","GPVG+RMH, Naâma",Naâma,45,Naama,45000,+213770033923,,33.54455290000001,-0.2732658,fr
Zr express aïn témouchent,"8V42+CHJ, Aïn Témouchent, Algérie","8V42+CHJ, Aïn Témouchent",Aïn Témouchent,46,Ain Temouchent,46000,+213770766682,,35.3060762,-1.1486155,fr
ZR express ghardaia,"Ghardaïa, Algérie",Ghardaïa,Ghardaïa,47,Ghardaïa,47000,+213791544440,,32.4920507,3.682666899999999,fr
ZR EXPRESS,"Rue A A, Relizane, Algérie","Rue A A, Relizane",Relizane,48,Relizane,48000,+213770964076,,35.7463202,0.5602427999999999,fr
