name,address,wilaya_name,wilaya_code,commune,postal_code,phone,website,latitude,longitude,vicinity,language,place_id,status
ZR Express Adrar,"VPH8+37C, Adrar, Algérie",Adrar,01,Adrar,01000,+213661110053,,27.8777841,-0.2842951,"VPH8+37C, Adrar",fr,ChIJ_xGWpXyf9Q0Ro7SuF9_Jhh8,OPERATIONAL
Zr express chlef,"585J+MMP, Chlef, Algérie",Chlef,02,Cité Ruiz,02000,,,36.15922439999999,1.3316997,"585J+MMP, Chlef",fr,ChIJNYYtIPcPhBIRP4mV1sd-coc,OPERATIONAL
ZR Express Laghouat,"QRVW+8QP, Laghouat, Algérie",Laghouat,03,Laghouat,03000,+213698821234,,33.79380699999999,2.8465429,"QRVW+8QP, Laghouat",fr,ChIJTbZICADhYhIR4WhNHsJV8oI,OPERATIONAL
Zrexpress Oum el bouaghi,"92 EPLF, Oum el Bouaghi, Algérie",Oum El Bouaghi,04,Oum El Bouaghi,04000,+213672961016,,35.8691361,7.1231195,"92 EPLF, Oum el Bouaghi",fr,ChIJGdjDK-3X8BIRx_An2m4lK6o,OPERATIONAL
ZR express البريد السريع,"G4XW+HRJ, Batna, Algérie",Batna,05,Batna,05000,+213770555245,,35.54894549999999,6.146965899999999,"G4XW+HRJ, Batna",fr,ChIJW-Dbgw8T9BIRQ6HllWHTFkE,OPERATIONAL
zr express béjaia,"P3V2+H7F, Béjaïa, Algérie",Béjaïa,06,Bejaia,06000,,,36.74393,5.050668,"P3V2+H7F, Béjaïa",fr,ChIJN2j2xbIzjRIRnWz4pgselQk,OPERATIONAL
Zr express biskra,"RMXX+FCQ, Biskra, Algérie",Biskra,07,Biskra,07000,+213771534058,,34.850378,5.6992278,"RMXX+FCQ, Biskra",fr,ChIJbUEAcEMJ9RIRjIXwMrcFZIg,OPERATIONAL
Zrexpress bechar,"JQ5F+H9G, Béchar, Algérie",Béchar,08,Bechar,08000,+213770059498,,31.607972,-2.2250919,JQ5F+H9G,fr,ChIJ35iwW9b3jw0RPP3O1CpEPCU,OPERATIONAL
ZR Express Bouira,"Bouira, Algérie",Bouira,10,Bouira,10000,+213770381812,,36.3804652,3.8911554,Bouira,fr,ChIJH2HxuVIvjBIRsU4KG2nVcUU,OPERATIONAL
ZR Express Tamanrasset,"Tamanrasset, Algérie",Tamanrasset,11,Tamanrasset,11000,+213770994257,,22.7988968,5.516752099999999,Tamanrasset,fr,ChIJEcfnNfxvIBIRPgjUwKZ7BCk,OPERATIONAL
zr express tébessa,"C36V+95F, Tébessa, Algérie",Tébessa,12,Tebessa,12000,+213659430681,http://www.zrexpress.fr/,35.4106937,8.0928807,"C36V+95F, Tébessa",fr,ChIJcaxiMgDt-RIR05dtbX09jaE,OPERATIONAL
ZRexpress Tlemcen,"Tlemcen, Algérie",Tlemcen,13,Tlemcen,13000,+213770396954,http://zrexpress.com/,34.8948011,-1.3259789,Tlemcen,fr,ChIJr_ultdvJeA0REhbjwV95oAg,OPERATIONAL
ZR express Tiaret,"987C+9C7, Tiaret, Algérie",Tiaret,14,Tiaret,14000,,,35.3635202,1.321164,"987C+9C7, Tiaret",fr,ChIJg7w33PzRhhIRuNkgs-3RlOw,OPERATIONAL
Zrexpress Tizi ouzou,"Sud-Ouest, Tizi Ouzou 15000, Algérie",Tizi Ouzou,15,Tizi Ouzou,15000,+213770599901,,36.7066785,4.0319372,"Sud-Ouest, Tizi Ouzou",fr,ChIJ-duqcaXHjRIR56HHNYTVdIM,OPERATIONAL
